,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price
343,"22100 Crystal AvenuePeculiar, MO 64078","3Bedrms3Full Bath(s)0Half Bath(s)1,900SqftBuilt in2020Single Family",1900,0.25,3,3,0,252900
344,"1100 Main StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)2,843SqftBuilt in19201.7AcresSingle Family",2843,1.7,3,2,0,253000
345,"511 Palo Verde DriveBelton, MO 64012","4Bedrms3Full Bath(s)0Half Bath(s)3,190SqftBuilt in2005Single Family",3190,0.5,4,3,0,254000
346,"16917 Meadow Creek CircleBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,376SqftBuilt in2016Single Family",1376,0.2,3,2,0,254900
347,"609 Chardonnay CourtRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,803SqftBuilt in20050.26AcresSingle Family",1803,0.26,3,2,1,255000
348,"1908 Meadowlark DriveRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,706SqftBuilt in2002Single Family",1706,0.25,3,2,0,255000
349,"617 Meadowlark DriveRaymore, MO 64083","3Bedrms3Full Bath(s)0Half Bath(s)3,252SqftBuilt in2002Single Family",3252,0.5,3,3,0,255000
350,"621 Old Paint RoadRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,406SqftBuilt in1997Single Family",2406,0.35,4,3,0,255000
351,"610 Johnston ParkwayRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,376SqftBuilt in2005Single Family",2376,0.35,4,2,1,255000
352,"2169 Sierra DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,300SqftBuilt in2005Single Family",2300,0.35,3,2,1,255000
353,"3209 Steel Wheel DriveHarrisonville, MO 64701",3Bedrms2Full Bath(s)1Half Bath(s)Built in2016.34AcresSingle Family,1420,0.34,3,2,1,255000
354,"21200 North Pointe DrivePeculiar, MO 64078","4Bedrms3Full Bath(s)0Half Bath(s)1,750SqftBuilt in2020Single Family",1750,0.25,4,3,0,255161
355,"206 Leah LaneHarrisonville, MO 64701","4Bedrms3Full Bath(s)1Half Bath(s)3,121SqftBuilt in1999Single Family",3121,0.5,4,3,1,255660
356,"25220 S Blinker Light RoadHarrisonville, MO 64701","4Bedrms2Full Bath(s)0Half Bath(s)2,444SqftBuilt in19883.85AcresSingle Family",2444,3.85,4,2,0,256000
357,"10005 E Kelly DrivePeculiar, MO 64078","2Bedrms2Full Bath(s)0Half Bath(s)1,500SqftBuilt in2019Single Family",1500,0.25,2,2,0,256500
358,"2180 E Sierra DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,781SqftBuilt in2004Single Family",1781,0.25,3,2,1,257000
359,"19517 S Quail Ridge RoadBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,691SqftBuilt in19782.5AcresSingle Family",1691,2.5,3,2,0,257000
360,"618 Loran LaneRaymore, MO 64083","3Bedrms3Full Bath(s)0Half Bath(s)2,784SqftBuilt in1987Single Family",2784,0.35,3,3,0,257900
361,"3205 Steel Wheel DriveHarrisonville, MO 64701","4Bedrms3Full Bath(s)0Half Bath(s)2,513SqftBuilt in20040.21AcresSingle Family",2513,0.21,4,3,0,258000
362,"1110 Manse DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,173SqftBuilt in19980.22AcresSingle Family",2173,0.22,4,3,0,258000
363,"1910 Sequoia DriveRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,664SqftBuilt in2006Single Family",1664,0.25,3,2,0,258000
364,"11512 E 208th StreetPeculiar, MO 64078","4Bedrms3Full Bath(s)0Half Bath(s)1,914SqftBuilt in2020Single Family",1914,0.25,4,3,0,258500
365,"611 S Adams StreetRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,088SqftBuilt in20050.17AcresSingle Family",2088,0.17,4,2,1,258500
366,"408 W 220th StreetBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)1,992SqftBuilt in19913.08AcresSingle Family",1992,3.08,3,2,1,259000
367,"19718 S Quail Ridge RoadBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,700SqftBuilt in19792.06AcresSingle Family",1700,2.06,3,2,0,259000
368,"308 N High DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)3,200SqftBuilt in1972Single Family",3200,0.5,4,3,0,259500
369,"607 Chardonnay CourtRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)3,213SqftBuilt in2006Single Family",3213,0.5,4,3,1,259900
370,"1509 Colt CircleRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,735SqftBuilt in1999Single Family",2735,0.35,3,2,1,259900
371,"202 N Walker DriveRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,245SqftBuilt in1993Single Family",2245,0.35,4,2,1,259900
372,"23810 S Treasure RoadPeculiar, MO 64078","2Bedrms1Full Bath(s)0Half Bath(s)2,057SqftBuilt in194015AcresSingle Family",2057,15,2,1,0,260000
373,"7314 Tennisen CourtBelton, MO 64012","4Bedrms3Full Bath(s)0Half Bath(s)2,391SqftBuilt in2005Single Family",2391,0.35,4,3,0,260000
374,"6709 E Mabel RoadBelton, MO 64012","4Bedrms3Full Bath(s)0Half Bath(s)2,328SqftBuilt in19805.5AcresSingle Family",2328,5.5,4,3,0,260000
375,"26600 S Grand River RoadHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,300SqftBuilt in199432AcresSingle Family",1300,32,3,2,0,260000
376,"6406 Trott RoadBelton, MO 64012","3Bedrms3Full Bath(s)0Half Bath(s)1,512SqftBuilt in19772AcresSingle Family",1512,2,3,3,0,260000
377,"18310 E 253rd StreetHarrisonville, MO 64701","3Bedrms2Full Bath(s)1Half Bath(s)1,746SqftBuilt in19763.55AcresSingle Family",1746,3.55,3,2,1,260000
378,"719 Corrington DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,388SqftBuilt in2004Single Family",2388,0.35,4,3,0,260000
379,"1406 Russell RoadPleasant Hill, MO 64080","5Bedrms3Full Bath(s)1Half Bath(s)3,168SqftBuilt in2003Single Family",3168,0.5,5,3,1,260000
380,"28208 S Walker RoadHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,300SqftBuilt in198210.05AcresSingle Family",1300,10.05,3,2,0,260000
381,"411 Appaloosa DriveRaymore, MO 64083","4Bedrms2Full Bath(s)0Half Bath(s)2,106SqftBuilt in19700.78AcresSingle Family",2106,0.78,4,2,0,260000
382,"1017 SW Almsby RoadLee's Summit, MO 64083","2Bedrms2Full Bath(s)0Half Bath(s)1,605SqftBuilt in2014Single Family",1605,0.25,2,2,0,261000
383,"21625 S Home Farm RoadHarrisonville, MO 64701","3Bedrms3Full Bath(s)0Half Bath(s)2,132SqftBuilt in19755AcresSingle Family",2132,5,3,3,0,262000
384,"22601 Cole CourtPeculiar, MO 64078","3Bedrms3Full Bath(s)0Half Bath(s)2,162SqftBuilt in2007Single Family",2162,0.35,3,3,0,262500
385,"811 Stratford DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)1,884SqftBuilt in1998Single Family",1884,0.25,4,3,0,262900
386,"506 Meadowlark DriveRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)2,223SqftBuilt in2006Single Family",2223,0.35,4,3,1,263999
387,"711 S Franklin StreetRaymore, MO 64083","4Bedrms2Full Bath(s)2Half Bath(s)2,738SqftBuilt in2009Single Family",2738,0.35,4,2,2,264000
388,"400 S Halsey AvenueHarrisonville, MO 64701","4Bedrms4Full Bath(s)1Half Bath(s)4,016SqftBuilt in1970Single Family",4016,0.5,4,4,1,264500
389,"24112 S Tanaine LanePeculiar, MO 64078","3Bedrms2Full Bath(s)1Half Bath(s)2,162SqftBuilt in19923AcresSingle Family",2162,3,3,2,1,265000
390,"436 E Ponderosa StreetDrexel, MO 64742","4Bedrms3Full Bath(s)1Half Bath(s)2,995SqftBuilt in2005Single Family",2995,0.35,4,3,1,265000
391,"2013 Prairie Grass DriveRaymore, MO 64083","3Bedrms3Full Bath(s)0Half Bath(s)2,754SqftBuilt in2006Single Family",2754,0.35,3,3,0,265000
392,"27701 S Wolf RoadFreeman, MO 64746","3Bedrms3Full Bath(s)0Half Bath(s)2,800SqftBuilt in1970Single Family",2800,0.35,3,3,0,265000
393,"20406 S Raffurty RoadPleasant Hill, MO 64080","3Bedrms2Full Bath(s)1Half Bath(s)1,729SqftBuilt in19882.8AcresSingle Family",1729,2.8,3,2,1,265000
394,"602 Oak DriveRaymore, MO 64083","3Bedrms3Full Bath(s)1Half Bath(s)2,467SqftBuilt in1996Single Family",2467,0.35,3,3,1,265000
395,"409 W 220 StreetBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)2,092SqftBuilt in19953AcresSingle Family",2092,3,3,2,1,265000
396,"10009 Kelly DrivePeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,466SqftSingle Family",1466,0.2,3,2,0,265000
397,"200 N Pacific CourtRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,225SqftBuilt in1995Single Family",2225,0.35,3,2,1,265000
398,"311 S Fox Ridge DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,197SqftBuilt in2003Single Family",2197,0.35,3,2,1,265000
399,"1504 Bridlewood LaneRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,935SqftBuilt in1996Single Family",2935,0.35,4,3,0,265000
400,"1406 Cedar Ridge CircleRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,994SqftBuilt in20020.53AcresSingle Family",1994,0.53,3,2,1,265000
401,"1904 Star Grass CircleGreenwood, MO 64034","3Bedrms3Full Bath(s)0Half Bath(s)1,937SqftBuilt in2011Single Family",1937,0.25,3,3,0,265000
402,"1702 Nottingham DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)2,218SqftBuilt in1998Single Family",2218,0.35,3,2,0,265000
403,"7910 E 162nd TerraceBelton, MO 64012","4Bedrms3Full Bath(s)1Half Bath(s)2,709SqftBuilt in1991Single Family",2709,0.35,4,3,1,266000
404,"5409 E 202 StreetBelton, MO 64012","4Bedrms4Full Bath(s)0Half Bath(s)3,911SqftBuilt in19762.55AcresSingle Family",3911,2.55,4,4,0,266450
405,"18410 Moorland DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)1Half Bath(s)1,584SqftBuilt in19943AcresSingle Family",1584,3,3,2,1,267000
406,"602 Tall Grass DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)1Half Bath(s)2,212SqftBuilt in2006Single Family",2212,0.35,3,2,1,267400
407,"1703 Gore RoadRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,124SqftBuilt in19772.23AcresSingle Family",2124,2.23,3,2,1,267500
408,"702 Andy CourtBelton, MO 64012","4Bedrms3Full Bath(s)0Half Bath(s)2,224SqftBuilt in2017Single Family",2224,0.35,4,3,0,267900
409,"708 Cedar Ridge DriveRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)2,236SqftBuilt in2002Single Family",2236,0.35,4,3,1,267900
410,"21715 S Major RoadPeculiar, MO 64078","4Bedrms3Full Bath(s)0Half Bath(s)3,308SqftBuilt in19942.8AcresSingle Family",3308,2.8,4,3,0,268000
411,"518 Madera CourtBelton, MO 64012","4Bedrms3Full Bath(s)0Half Bath(s)2,020SqftBuilt in20190.23AcresSingle Family",2020,0.23,4,3,0,268000
412,"1404 Cedar Ridge CircleRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)2,312SqftBuilt in2000Single Family",2312,0.35,4,3,1,268000
413,"424 Granite DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,364SqftBuilt in2004Single Family",2364,0.35,3,2,1,268000
414,"26220 S Groh RoadCleveland, MO 64734","3Bedrms2Full Bath(s)0Half Bath(s)1,450SqftBuilt in197410AcresSingle Family",1450,10,3,2,0,268500
415,"507 Tall Grass DrivePleasant Hill, MO 64080","4Bedrms3Full Bath(s)0Half Bath(s)2,079SqftBuilt in2017Single Family",2079,0.35,4,3,0,268500
416,"427 Spring Branch DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,150SqftBuilt in2018Single Family",2150,0.35,4,3,0,269000
417,"20209 E 215th StreetHarrisonville, MO 64701","3Bedrms2Full Bath(s)1Half Bath(s)2,077SqftBuilt in19745AcresSingle Family",2077,5,3,2,1,269000
418,"1004 Eve Orchid DriveGreenwood, MO 64034","4Bedrms3Full Bath(s)0Half Bath(s)2,752SqftBuilt in2012Single Family",2752,0.25,4,3,0,269000
419,"730 Chelsea CourtRaymore, MO 64083","5Bedrms3Full Bath(s)1Half Bath(s)2,504SqftBuilt in20050.2AcresSingle Family",2504,0.2,5,3,1,269000
420,"24522 S Myers CourtPeculiar, MO 64078","3Bedrms2Full Bath(s)1Half Bath(s)1,709SqftBuilt in19933AcresSingle Family",1709,3,3,2,1,269000
421,"519 S Silver Top LaneRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)1,830SqftSingle Family",1830,0.25,4,3,0,269900
422,"1212 SW Sapperton RoadLee's Summit, MO 64082","5Bedrms2Full Bath(s)1Half Bath(s)2,586SqftBuilt in2007Single Family",2586,0.35,5,2,1,269900
423,"16502 Fairway RoadBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)2,892SqftBuilt in2005Single Family",2892,0.35,3,2,1,269900
424,"4708 SW Soldier DriveLee's Summit, MO 64082","2Bedrms2Full Bath(s)0Half Bath(s)1,689SqftBuilt in2008Single Family",1689,0.25,2,2,0,269940
425,"12430 Live Oak CirclePeculiar, MO 64078","4Bedrms2Full Bath(s)0Half Bath(s)1,592SqftSingle Family",1592,0.25,4,2,0,269995
426,"19603 South Leslie RoadKingsville, MO 64061","3Bedrms2Full Bath(s)1Half Bath(s)1,644SqftBuilt in19685AcresSingle Family",1644,5,3,2,1,270000
427,"425 Spring Branch DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,150SqftBuilt in2019Single Family",2150,0.35,4,3,0,270000
428,"413 SW Seagull StreetLee's Summit, MO 64082","4Bedrms2Full Bath(s)2Half Bath(s)2,827SqftBuilt in1992Single Family",2827,0.35,4,2,2,270000
429,"314 Eagle Glen DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,817SqftBuilt in2019Single Family",1817,0.25,3,2,1,270000
430,"704 Wright StreetPleasant Hill, MO 64080","4Bedrms3Full Bath(s)0Half Bath(s)1,970SqftSingle Family",1970,0.25,4,3,0,270000
431,"401 Eagle Glen DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,032SqftBuilt in2005Single Family",2032,0.35,3,2,1,270000
432,"12211 E 214th StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)1Half Bath(s)2,064SqftBuilt in2016Single Family",2064,0.35,3,2,1,270000
433,"1310 Faulkner DrivePleasant Hill, MO 64080","4Bedrms3Full Bath(s)0Half Bath(s)2,731SqftBuilt in2008Single Family",2731,0.35,4,3,0,270000
434,"406 Eagle Glen DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,248SqftBuilt in2004Single Family",2248,0.35,3,2,1,270900
435,"1502 Drury CircleRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,732SqftBuilt in2005Single Family",2732,0.35,4,3,0,272000
436,"12004 E 214th StreetPeculiar, MO 64078","5Bedrms4Full Bath(s)0Half Bath(s)2,686SqftBuilt in2005Single Family",2686,0.35,5,4,0,272000
437,"808 Old Stage RoadPleasant Hill, MO 64080","4Bedrms2Full Bath(s)1Half Bath(s)2,450SqftBuilt in2016Single Family",2450,0.35,4,2,1,272500
438,"703 Buckeye LanePleasant Hill, MO 64080","3Bedrms3Full Bath(s)0Half Bath(s)2,249SqftBuilt in20170.47AcresSingle Family",2249,0.47,3,3,0,273000
439,"1715 S Fox Ridge DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,969SqftBuilt in2003Single Family",2969,0.35,4,3,0,273900
440,"12105 E 214th StreetPeculiar, MO 64078","4Bedrms3Full Bath(s)1Half Bath(s)2,380SqftBuilt in2005Single Family",2380,0.35,4,3,1,274000
441,"1909 Hidden Valley DrivePleasant Hill, MO 64080","3Bedrms3Full Bath(s)0Half Bath(s)2,491SqftBuilt in19920.75AcresSingle Family",2491,0.75,3,3,0,274000
442,"36106 E 161st StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)2,184SqftBuilt in198710AcresSingle Family",2184,10,3,2,0,274125
443,"11503 E 209th StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,507SqftBuilt in2019Single Family",1507,0.25,3,2,0,274500
444,"4817 SW Beckham DriveLee's Summit, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,837SqftBuilt in2018Single Family",1837,0.25,3,2,1,274990
445,"1225 SW Waterloo DriveLee's Summit, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,837SqftBuilt in2018Single Family",1837,0.25,3,2,1,274990
446,"1917 Prairie Grass DriveRaymore, MO 64083","3Bedrms3Full Bath(s)0Half Bath(s)2,309SqftBuilt in2006Single Family",2309,0.35,3,3,0,275000
447,"812 Garnes StreetRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,559SqftBuilt in2009Single Family",2559,0.35,3,2,1,275000
448,"5149 SW Raintree ParkwayLee's Summit, MO 64082","4Bedrms3Full Bath(s)0Half Bath(s)2,504SqftBuilt in1991Single Family",2504,0.35,4,3,0,275000
449,"435 Spring Branch DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,150SqftBuilt in2018Single Family",2150,0.35,4,3,0,275000
450,"316 Alder DriveRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,271SqftBuilt in2006Single Family",2271,0.35,4,2,1,275000
451,"12423 Live Oak CirclePeculiar, MO 64078","3Bedrms2Full Bath(s)1Half Bath(s)1,800SqftBuilt in2019Single Family",1800,0.25,3,2,1,275000
452,"3206 Steel CircleHarrisonville, MO 64701","4Bedrms3Full Bath(s)0Half Bath(s)2,853SqftBuilt in2004Single Family",2853,0.35,4,3,0,275000
453,"2010 Owen DrivePleasant Hill, MO 64080","4Bedrms3Full Bath(s)0Half Bath(s)3,280SqftBuilt in2007Single Family",3280,0.5,4,3,0,275000
454,"901 S Lincoln RoadRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,016SqftBuilt in19695AcresSingle Family",2016,5,3,2,1,275000
455,"1920 Hidden Valley DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)2Half Bath(s)2,602SqftBuilt in19900.8AcresSingle Family",2602,0.8,3,2,2,275000
456,"116 Popago LaneLake Winnebago, MO 64034","4Bedrms3Full Bath(s)0Half Bath(s)2,350SqftBuilt in1968Single Family",2350,0.35,4,3,0,275000
457,"29805 E State Route TGarden City, MO 64747","4Bedrms4Full Bath(s)0Half Bath(s)3,484Sqft5AcresSingle Family",3484,5,4,4,0,275000
458,"25612 S Lincoln RoadHarrisonville, MO 64701","3Bedrms2Full Bath(s)1Half Bath(s)1,944SqftBuilt in19703AcresSingle Family",1944,3,3,2,1,275000
459,"1519 Saddlebrook RoadRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,785SqftBuilt in20020.25AcresSingle Family",2785,0.25,4,3,0,275000
460,"1003 Barron RoadRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,196SqftBuilt in19745AcresSingle Family",2196,5,4,3,0,275000
461,"22618 Cole CourtPeculiar, MO 64078","4Bedrms3Full Bath(s)1Half Bath(s)3,200SqftSingle Family",3200,0.5,4,3,1,275000
462,"12403 Live Oak CirclePeculiar, MO 64078","4Bedrms2Full Bath(s)1Half Bath(s)1,851SqftBuilt in2019Single Family",1851,0.25,4,2,1,275695
463,"15300 E 200th StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)2,768SqftBuilt in19832.76AcresSingle Family",2768,2.76,3,2,0,276000
464,"2215 Wind Side CourtRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,589SqftBuilt in2013Single Family",2589,0.35,4,3,0,276500
465,"1601 Kentucky DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)1Half Bath(s)2,433SqftBuilt in20050.3AcresSingle Family",2433,0.3,3,2,1,277000
466,"803 Old Paint RoadRaymore, MO 64083","5Bedrms4Full Bath(s)0Half Bath(s)3,138SqftBuilt in1998Single Family",3138,0.5,5,4,0,277000
467,"16101 E 289th StreetHarrisonville, MO 64701","3Bedrms3Full Bath(s)0Half Bath(s)3,280Sqft5AcresSingle Family",3280,0,3,3,0,278500
468,"25213 Lone Pine DriveCleveland, MO 64734","4Bedrms2Full Bath(s)0Half Bath(s)2,352SqftBuilt in19773.2AcresSingle Family",2352,3.2,4,2,0,279000
469,"810 Cedar Ridge DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)1,914SqftSingle Family",1914,0.25,4,3,0,279000
470,"716 Redtop LaneRaymore, MO 64083","3Bedrms3Full Bath(s)0Half Bath(s)2,461SqftBuilt in2006Single Family",2461,0.35,3,3,0,279000
471,"905 Bellflower LaneGreenwood, MO 64034","5Bedrms3Full Bath(s)0Half Bath(s)2,082SqftBuilt in2013Single Family",2082,0.35,5,3,0,279000
472,"1702 Winchester DrivePleasant Hill, MO 64080","4Bedrms3Full Bath(s)0Half Bath(s)1,822SqftBuilt in2005Single Family",1822,0.25,4,3,0,279000
473,"500 Eagle Glen DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,035SqftBuilt in2005Single Family",2035,0.35,4,3,0,279000
474,"11507 E 207th CirclePeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,507SqftBuilt in2019Single Family",1507,0.25,3,2,0,279900
475,"806 Eve Orchid DriveGreenwood, MO 64034","4Bedrms3Full Bath(s)0Half Bath(s)2,370SqftBuilt in2012Single Family",2370,0.35,4,3,0,279900
476,"1713 Lexington RoadPleasant Hill, MO 64080","4Bedrms2Full Bath(s)0Half Bath(s)2,959SqftBuilt in19840.72AcresSingle Family",2959,0.72,4,2,0,279900
477,"1504 Ventnor LaneRaymore, MO 64083","2Bedrms2Full Bath(s)0Half Bath(s)2,538SqftBuilt in2006Single Family",2538,0.35,2,2,0,279900
478,"12205 White Oak StreetPeculiar, MO 64078","4Bedrms2Full Bath(s)1Half Bath(s)1,925SqftBuilt in2019Single Family",1925,0.25,4,2,1,279900
479,"1510 Horseshoe DriveRaymore, MO 64083","4Bedrms4Full Bath(s)0Half Bath(s)3,730SqftSingle Family",3730,0.5,4,4,0,279900
480,"302 Crestview CourtRaymore, MO 64083","2Bedrms2Full Bath(s)0Half Bath(s)1,151SqftBuilt in2019Single Family",1151,0.2,2,2,0,280000
481,"608 Mulberry StreetPleasant Hill, MO 64080","4Bedrms2Full Bath(s)0Half Bath(s)2,200SqftBuilt in20031AcresSingle Family",2200,1,4,2,0,280000
482,"907 N Jackson StreetRaymore, MO 64083","3Bedrms3Full Bath(s)0Half Bath(s)2,616SqftBuilt in19741.97AcresSingle Family",2616,1.97,3,3,0,280000
483,"825 Old Paint RoadRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)3,064SqftSingle Family",3064,0.5,4,2,1,280000
484,"1806 Meadow LanePleasant Hill, MO 64080","4Bedrms3Full Bath(s)1Half Bath(s)2,279SqftBuilt in20110.5AcresSingle Family",2279,0.5,4,3,1,280000
485,"320 Ponderosa StreetDrexel, MO 64742","5Bedrms3Full Bath(s)0Half Bath(s)3,308SqftBuilt in2005Single Family",3308,0.5,5,3,0,280000
486,"12023 Astor CourtPeculiar, MO 64078","4Bedrms3Full Bath(s)0Half Bath(s)2,121SqftBuilt in2019Single Family",2121,0.35,4,3,0,281000
487,"615 Meadowlark CircleRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,821SqftBuilt in2004Single Family",1821,0.25,3,2,0,281600
488,"22913 S Fox's LanePeculiar, MO 64078","2Bedrms2Full Bath(s)0Half Bath(s)1,335SqftBuilt in2020Single Family",1335,0.2,2,2,0,282000
489,"510 Johnston ParkwayRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)3,313SqftBuilt in1998Single Family",3313,0.5,4,3,1,282500
490,"419 River Birch RoadRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,040SqftBuilt in2015Single Family",2040,0.35,4,2,1,283027
491,"411 Fairway RoadBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)1,785SqftBuilt in2017Single Family",1785,0.25,3,2,1,283500
492,"22915 S Fox's LanePeculiar, MO 64078","4Bedrms3Full Bath(s)0Half Bath(s)2,150SqftBuilt in2020Single Family",2150,0.35,4,3,0,284000
493,"23003 S Fox's LanePeculiar, MO 64078","4Bedrms3Full Bath(s)0Half Bath(s)2,150SqftBuilt in2018Single Family",2150,0.35,4,3,0,284000
494,"507 River Birch RoadRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)3,215SqftBuilt in20060.35AcresSingle Family",3215,0.35,4,2,1,284000
495,"1506 Horseshoe DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)3,129SqftBuilt in1998Single Family",3129,0.5,4,3,0,284000
496,"317 Alder DriveRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,284SqftBuilt in2009Single Family",2284,0.35,4,2,1,284000
497,"12500 Live Oak CirclePeculiar, MO 64078","4Bedrms2Full Bath(s)1Half Bath(s)1,865SqftBuilt in2019Single Family",1865,0.25,4,2,1,284100
498,"11504 E 209th StreetPeculiar, MO 64078","4Bedrms2Full Bath(s)1Half Bath(s)1,925SqftBuilt in2019Single Family",1925,0.25,4,2,1,284500
499,"24910 S Hope RoadPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,372SqftBuilt in19756.3AcresSingle Family",1372,6.3,3,2,0,284500
500,"1526 Horseshoe DriveRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,600SqftBuilt in2002Single Family",2600,0.35,4,2,1,284750
501,"4800 SW Beckham DriveLee's Summit, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,837SqftBuilt in2018Single Family",1837,0.25,3,2,1,284990
502,"320 SW Seagull StreetLee's Summit, MO 64082","4Bedrms3Full Bath(s)1Half Bath(s)2,961SqftBuilt in1993Single Family",2961,0.35,4,3,1,285000
503,"1003 Papaw LanePleasant Hill, MO 64080","4Bedrms3Full Bath(s)0Half Bath(s)2,400SqftBuilt in20170.47AcresSingle Family",2400,0.47,4,3,0,285000
504,"1210 Cooper DriveRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)2,030SqftBuilt in2012Single Family",2030,0.35,4,3,1,285000
505,"1701 Longhorn LaneRaymore, MO 64083","3Bedrms3Full Bath(s)0Half Bath(s)2,324SqftBuilt in2001Single Family",2324,0.35,3,3,0,285000
506,"4800 SW Leafwing DriveLee's Summit, MO 64082","2Bedrms2Full Bath(s)0Half Bath(s)1,595SqftBuilt in2006Single Family",1595,0.25,2,2,0,285000
507,"1307 Buckeye LanePleasant Hill, MO 64080","3Bedrms3Full Bath(s)0Half Bath(s)2,344SqftBuilt in2006Single Family",2344,0.35,3,3,0,285000
